word,valence,arousal,dominance
perish,2.22,5.19,3.35
executioner,2.23,6.59,3.68
feces,2.23,4.35,4.53
invader,2.23,5.67,3.5
attacker,2.23,7.27,4.26
war,2.23,6.27,3.27
insecurity,2.24,4.81,3.56
betrayal,2.24,5.71,3.12
diseased,2.24,5.48,3.08
lice,2.24,5.2,2.77
lifeless,2.24,3.55,2.81
helpless,2.24,4.91,3.0
bigotry,2.24,6.15,4.53
asbestos,2.24,4.38,3.05
retarded,2.25,5.43,4.16
leprosy,2.25,4.38,3.35
afraid,2.25,5.12,2.71
chemotherapy,2.25,5.05,2.65
castration,2.25,5.25,2.95
violent,2.26,6.3,3.65
alzheimers,2.26,4.5,2.0
burglary,2.26,6.33,2.85
widower,2.26,2.83,3.23
incompetence,2.26,5.17,3.09
crucify,2.26,5.6,3.11
shoplifter,2.26,5.59,4.86
deformed,2.26,4.27,3.05
arson,2.26,5.41,3.78
mutilation,2.27,5.38,2.73
depressed,2.27,4.25,3.91
poisoning,2.27,6.35,3.74
disgusting,2.27,6.15,4.79
disloyal,2.27,5.14,3.28
humiliation,2.27,5.43,3.26
convict,2.28,4.95,4.08
awful,2.28,4.86,3.06
widow,2.28,3.5,4.12
execution,2.28,6.0,3.27
disown,2.29,4.54,3.64
violation,2.29,4.52,3.28
sick,2.29,4.67,2.84
harmful,2.29,4.89,4.1
guilt,2.29,4.48,4.35
shitty,2.3,5.45,4.1
insecure,2.3,4.57,3.62
infestation,2.3,5.83,2.75
nag,2.3,4.72,3.96
unfriendly,2.3,4.05,4.45
traitorous,2.32,5.25,4.5
thief,2.32,6.05,3.14
malicious,2.32,4.95,4.78
jihad,2.32,5.35,3.08
reek,2.32,4.86,4.86
obese,2.32,3.95,4.22
hemorrhage,2.32,5.0,3.0
carjack,2.32,6.05,2.8
toothache,2.32,5.86,2.95
anthrax,2.32,4.72,2.71
injury,2.32,5.56,3.6
faggot,2.32,5.68,3.63
hag,2.32,4.52,3.61
vandal,2.32,4.84,3.25
ransom,2.32,4.45,2.43
unemployment,2.32,5.59,2.95
ruin,2.32,5.4,5.16
cannibalism,2.32,6.05,4.09
barf,2.32,5.0,3.71
arthritis,2.32,4.27,2.63
fail,2.33,5.5,4.74
tsunami,2.33,6.29,2.6
slaughter,2.33,5.77,3.57
arrest,2.33,6.86,3.11
horrible,2.33,5.95,5.16
swastika,2.33,5.26,3.35
drown,2.33,5.35,2.65
unfaithful,2.33,5.59,4.44
unforgivable,2.33,6.25,3.56
enraged,2.33,5.22,4.4
swindler,2.33,4.82,3.86
bullshit,2.33,7.0,3.0
grief,2.33,4.95,3.26
dishonorable,2.33,5.76,3.71
discriminating,2.33,4.78,3.95
dangerous,2.33,6.81,2.56
hater,2.33,4.14,4.8
sewage,2.33,4.09,3.89
hepatitis,2.33,3.83,4.05
unsuccessful,2.33,3.36,3.21
evil,2.34,5.67,3.6
malaria,2.34,5.07,3.32
stink,2.35,4.48,4.76
toxic,2.35,5.29,4.13
crappy,2.35,5.26,3.92
hostile,2.35,5.39,4.36
terrorist,2.35,6.09,3.02
loneliness,2.35,4.09,3.61
disgraceful,2.35,4.08,2.79
pickpocket,2.35,6.0,3.6
deception,2.36,5.79,3.81
antichrist,2.36,5.58,4.39
dishonor,2.37,4.82,3.79
cruelty,2.37,5.9,2.64
unattractive,2.37,4.3,3.47
shithead,2.37,6.0,3.96
jailbird,2.38,4.48,3.18
rancid,2.38,5.16,4.07
jealous,2.38,5.9,4.68
hatred,2.38,5.22,4.0
fatty,2.38,3.35,3.5
anxiety,2.38,4.78,3.39
lie,2.39,4.81,4.72
suspect,2.39,4.57,3.22
traitor,2.39,4.27,4.73
sickness,2.4,3.95,2.8
grave,2.4,4.54,3.73
misfortune,2.4,4.24,2.92
rejected,2.4,4.7,2.43
fecal,2.4,4.52,4.2
decay,2.4,4.59,2.84
mourn,2.4,4.95,4.08
sadness,2.4,2.81,3.84
criticize,2.41,5.27,4.7
vermin,2.41,5.22,4.68
liar,2.41,6.6,4.74
unforgiving,2.41,4.81,4.29
grim,2.41,4.48,4.18
shun,2.42,4.04,4.63
loathing,2.42,4.5,3.95
choke,2.42,5.3,3.74
casket,2.42,4.82,3.11
abduct,2.42,5.9,2.75
plague,2.42,6.67,2.96
whiplash,2.42,5.36,3.73
decompose,2.42,4.17,3.4
felony,2.42,4.95,4.31
toxin,2.42,5.52,3.45
coward,2.42,4.09,4.09
jerk,2.43,6.45,4.84
leech,2.43,4.09,4.5
noose,2.43,5.38,3.99
brutality,2.43,4.96,3.89
rotten,2.43,4.9,3.37
mean,2.43,4.81,4.17
impoverished,2.43,4.64,3.3
sociopath,2.44,6.43,2.3
dumb,2.44,5.3,4.39
depression,2.44,5.2,3.33
suffocation,2.44,5.0,3.17
nemesis,2.44,5.5,4.25
invasion,2.45,6.59,3.0
injustice,2.45,6.45,3.27
electrocution,2.45,5.76,2.5
pervert,2.45,5.18,2.82
headstone,2.45,4.18,3.6
multiple sclerosis,2.45,5.11,2.33
hurt,2.45,4.72,3.73
upset,2.45,4.49,4.3
disgrace,2.45,4.28,3.32
corpse,2.45,4.89,3.23
frustration,2.45,5.94,3.27
harassment,2.45,5.15,4.05
snarl,2.45,5.85,4.65
slander,2.45,5.68,3.62
lobotomy,2.45,5.32,2.0
discrimination,2.45,5.62,4.57
constipation,2.45,3.83,3.27
heartbreak,2.45,5.65,3.58
frightened,2.45,5.61,3.05
asthma,2.45,4.5,3.54
cockroach,2.46,5.22,3.57
agony,2.46,5.78,4.0
intruder,2.46,5.66,3.18
outbreak,2.47,5.38,3.4
cripple,2.47,4.05,2.61
depress,2.47,3.14,3.67
revolting,2.47,5.9,3.95
bomb,2.47,5.71,3.14
bleed,2.47,5.0,3.75
glaucoma,2.47,3.45,2.91
brokenhearted,2.47,5.41,3.47
mad,2.47,5.59,4.9
emphysema,2.47,4.25,4.3
profane,2.47,4.55,3.91
disqualify,2.47,4.7,3.45
hex,2.47,4.77,4.42
ugly,2.47,4.43,3.86
