word,valence,arousal,dominance
stupid,2.84,4.34,4.03
sullen,2.84,4.52,4.57
ghoul,2.84,4.95,4.3
bogus,2.84,5.32,3.59
bald,2.85,3.71,4.5
treacherous,2.85,6.0,3.33
irritable,2.85,6.37,4.23
uncooperative,2.86,4.8,3.6
bulimic,2.86,4.3,4.06
uneasy,2.86,4.48,3.82
bossy,2.86,4.68,4.73
bloody,2.86,5.76,3.75
loathsome,2.89,4.45,3.57
spiteful,2.89,4.71,5.13
gruesome,2.89,6.62,3.83
governmental,2.89,3.8,3.04
pitiful,2.89,4.47,3.45
venomous,2.9,7.21,4.23
manipulative,2.9,4.44,3.67
paranoid,2.9,5.09,3.81
cannibal,2.9,6.1,3.2
callous,2.9,3.85,4.26
powerless,2.9,3.95,3.04
hypodermic,2.9,4.78,4.58
needy,2.9,4.68,4.27
rectal,2.9,4.41,4.44
schizophrenic,2.91,5.41,3.1
beggar,2.92,4.29,4.16
appalling,2.95,5.5,4.55
unresponsive,2.95,3.94,3.36
nasty,2.95,5.44,3.98
bored,2.95,3.65,4.96
unpopular,2.95,4.25,3.48
crybaby,2.95,5.05,3.21
spineless,2.95,4.57,4.1
awkward,2.95,4.55,4.25
weak,2.95,4.9,5.32
wither,2.95,3.3,3.82
selfishness,2.95,4.57,4.94
fist,2.95,4.85,4.95
deceive,2.95,5.9,4.58
punitive,2.95,4.62,4.08
mucous,2.95,3.83,4.41
unclean,2.95,4.12,4.19
creep,2.95,4.78,4.63
cheater,2.95,5.95,4.09
unfit,2.95,3.77,4.22
frightful,2.95,5.2,3.55
meaningless,2.95,3.05,3.57
unable,2.96,3.61,3.08
scary,3.0,5.35,3.7
corrupt,3.0,5.98,3.7
backfire,3.0,4.79,3.5
wrongful,3.0,5.48,4.24
spanking,3.0,5.98,4.62
arsenic,3.0,4.7,3.46
servitude,3.0,4.5,2.46
ailment,3.0,3.68,3.14
underprivileged,3.0,3.89,3.35
cranky,3.0,4.71,4.36
judgmental,3.0,5.05,3.79
dishonest,3.0,4.95,5.0
costly,3.0,4.08,4.68
ratty,3.0,3.82,4.78
nuisance,3.0,4.7,3.79
allergic,3.0,5.4,3.81
foolish,3.0,4.57,3.9
unreachable,3.0,3.4,3.5
undesirable,3.0,4.0,3.75
foul,3.0,4.09,4.11
imbecile,3.0,5.17,3.12
shameful,3.0,4.81,4.35
messy,3.0,4.61,4.83
uneducated,3.0,3.9,5.28
annoying,3.0,5.55,3.28
confusing,3.0,5.09,3.95
brutish,3.0,4.74,5.11
diabetic,3.0,3.86,2.73
resentful,3.0,4.35,4.12
narcissistic,3.0,5.0,4.94
inflammatory,3.0,4.67,4.17
scream,3.02,6.74,4.51
handicapped,3.04,3.95,3.45
oppressive,3.05,6.24,3.43
snooty,3.05,4.65,5.25
stagnant,3.05,3.49,4.27
unsavory,3.05,4.35,3.48
intrusive,3.05,5.77,4.47
detest,3.05,5.09,4.65
weepy,3.05,4.0,3.85
contagious,3.05,5.25,3.9
desecrate,3.05,4.12,4.1
unresolved,3.05,4.61,3.32
lazy,3.05,3.05,5.79
monotonous,3.05,2.68,4.55
federal,3.06,4.45,2.76
brutal,3.07,5.13,3.94
aggressive,3.08,5.87,5.49
egotistical,3.08,5.14,5.23
dysfunctional,3.09,4.63,2.95
hurtful,3.09,5.41,3.3
